Number	Compound	IC50 (µM)	Reference (PMID)	Cellular model	Temperature (°C)	Ca2+ bath solution [mM]	Technique	t1 pulse (s)	Holding potential (mV)	Depolarization
/measurement voltage (mV)
1	Ajmaline	70.8	16308426	rat VM	room	0.9	Whole cell PC	0.3	-40	0
2	Amitriptyline	23.2	18048694	guinea pig VM	20-24	1	Whole cell PC	0.07	-50	0
3	Amitriptyline	3.75	10333718	rat VM	room	2	Whole cell PC	0.2	-40	0
4	Amlodipine	0.57	9098694	guinea pig VM	37	1.8	Whole cell PC	0.35	-40	0
5	Amlodipine	4.2	10525060	XO	room	0	Voltage-clamp 2-electrode	0.2	-80	10
6	Amlodipine	1.2	10525060	XO	room	0	Voltage-clamp 2-electrode	0.2	-60	10
7	Arachidonic acid	5.8	17804608	rat VM	36-37	2	Whole cell PC	0.16	-40	10
8	Arachidonic acid	8.5	17804608	rat VM	36-37	2	Whole cell PC	0.16	-70	10
9	Azelastine	20.2	11334859	guinea pig VM	35.5-36.5	2	Whole cell PC	0.2	-100	0
10	Barnidipine	3.1	10525060	XO	room	0	Voltage-clamp 2-electrode	0.2	-80	10
11	Barnidipine	1.2	10525060	XO	room	0	Voltage-clamp 2-electrode	0.2	-60	10
12	Benidipine	13.8	10525060	XO	room	0	Voltage-clamp 2-electrode	0.2	-80	10
13	Benidipine	4.9	10525060	XO	room	0	Voltage-clamp 2-electrode	0.2	-60	10
14	Bepridil	0.5	2420970	guinea pig VM	20-22	1.8	Whole cell PC	0.1	-50	0
15	Bepridil	0.211	21300721	guinea pig VM	room	1.8	Whole cell PC	0.4	-40	0
16	Bepridil	2.6	14975710	guinea pig VM	20-22	1.8	Whole cell PC	0.25	-40	10
17	Bepridil	1.4	19367686	HEK	20-25	0	Whole cell PC	0.1	-60	20
18	Bunazosin	60	1687534	guinea pig VM	36-37	1.8	Whole cell PC	0.3	-40	10
19	Celvidipine	0.0071	11065219	guinea pig VM	room	1	Whole cell PC	0.25	-40	0
