pmid	Of interest for follow-up	PH
25596477	HIGH	
25681549	MED	
1706275	HIGH	
12005367	HIGH	
1701359	HIGH	
22471370	MED	
16105240	MED	
24561180	MED	
2830547	LOW	
2550449	HIGH	1
25057870	HIGH	
7693284	HIGH	
11303766	MED	
1645340	HIGH	1
14645142	HIGH	1
7828652	HIGH	
10877527	HIGH	
8863840	LOW	
9187271	LOW	
9565772	HIGH	
1598197	MED	
11743888	HIGH	1
8287905	HIGH	
17526568	LOW	
14597602	HIGH	1
2536427	HIGH	
7693914	HIGH	
9584212	LOW	
1695946	MED	
8172884	MED	
7616442	HIGH	
7996461	MED	
7957608	HIGH	
1380380	HIGH	
2172562	LOW	
15842773	MED	
14718255	HIGH	1
10482912	HIGH	1
8004393	LOW	
1480135	LOW	
12060527	LOW	
24523765	LOW	
2162495	MED	
1719369	MED	
7606340	LOW	
9200565	HIGH	
9316863	LOW	
1560378	LOW	
7996445	HIGH	
9402032	LOW	
8938653	LOW	
9365813	MED	
9523816	LOW	
9380032	LOW	
10212396	HIGH	
9283687	MED	
8485628	HIGH	
8173983	LOW	
10051142	HIGH	1
16086157	HIGH	
9015346	MED	
2845019	LOW	
16039679	LOW	
8794826	HIGH	
9788778	HIGH	
8382362	LOW	
16524785	HIGH	
19146942	LOW	
9151307	HIGH	
8596696	LOW	
16445575	HIGH	
9786500	MED	
12542897	MED	
9151306	HIGH	
9840422	MED	
19026735	LOW	
8392538	LOW	
1658607	HIGH	
7623766	LOW	
10863997	MED	
9405427	HIGH	1
12396023	HIGH	
17023597	HIGH	1
9257904	LOW	
7637584	LOW	
8119406	MED	
7952882	LOW	
7791099	HIGH	
7881746	HIGH	
18829731	HIGH	
9257107	LOW	
10619182	LOW	
22975497	HIGH	
10027865	LOW	
11065186	LOW	
9242181	HIGH	1
9098694	HIGH	
1696995	LOW	
9353357	LOW	
7957616	HIGH	
24253251	LOW	
8012703	LOW	
25179083	HIGH	
11332571	HIGH	
9360010	HIGH	
9670916	LOW	
7723746	HIGH	
8730735	MED	
11352508	MED	
23647686	LOW	
9495850	LOW	
1376359	LOW	
15639476	LOW	
24508520	HIGH	
2924069	LOW	
8766003	LOW	
16302909	HIGH	
16445574	MED	
9223552	LOW	
9422813	LOW	
10435002	LOW	
9336346	LOW	
10763862	LOW	
12096055	LOW	
19090984	LOW	
11005647	LOW	
1347567	HIGH	
9435162	LOW	
9709405	HIGH	
7536821	LOW	
12165041	HIGH	
9600665	MED	
2720300	MED	
8371147	HIGH	
8799581	HIGH	
12674757	HIGH	
9647469	LOW	
16904145	LOW	
10482914	HIGH	1
23619034	LOW	
11034618	LOW	
8350280	MED	
8998258	MED	
17397827	LOW	
25535742	HIGH	1
10333718	HIGH	
25016086	HIGH	
2684314	LOW	
8832072	LOW	
19542547	LOW	
7520693	HIGH	1
15678089	MED	
2156061	LOW	
9776350	HIGH	1
11108815	LOW	
16157773	HIGH	1
10440104	HIGH	
8814610	MED	
15711592	MED	
9208146	MED	
14715512	MED	
8821133	LOW	
12966159	HIGH	1
19378468	HIGH	
25109759	LOW	
8897446	HIGH	
18275974	MED	
2166793	LOW	
9313942	LOW	
11560360	LOW	
10226764	MED	
21510929	MED	
16173926	HIGH	
1578385	LOW	
12215493	LOW	
9146880	HIGH	
10835048	MED	
10651150	HIGH	
1309313	MED	
7616441	LOW	
7517800	LOW	
9421274	HIGH	1
7751400	HIGH	
8120807	LOW	
8576852	LOW	
8501529	MED	
25586009	LOW	
7895337	LOW	
9249238	LOW	
25442266	LOW	
7923617	MED	
14623763	HIGH	1
1973082	LOW	
18092154	HIGH	
8842417	HIGH	
11313433	MED	
10027087	MED	
7758190	LOW	
12715084	LOW	
18362602	HIGH	
12637367	LOW	
23571639	MED	
23396228	HIGH	
16940993	MED	
8739241	LOW	
8958219	LOW	
25472610	LOW	
7799226	LOW	
1992011	LOW	
14960351	LOW	
9593072	HIGH	
7897598	HIGH	
19634509	HIGH	
1709243	HIGH	
8637186	LOW	
9144648	LOW	
24958817	MED	
7811306	LOW	
2162377	LOW	
23848255	LOW	
8732508	MED	
9554804	LOW	
1285007	LOW	
8341720	HIGH	
8099965	LOW	
12579852	MED	
10975592	LOW	
8897484	HIGH	
17519531	HIGH	
15881613	HIGH	
11684147	MED	
11953130	HIGH	
12624815	HIGH	
14734053	LOW	
11189193	MED	
1714640	LOW	
7760349	HIGH	
7711935	HIGH	
8731425	LOW	
12448792	LOW	
11495288	LOW	
11243423	LOW	
7523774	LOW	
11392461	HIGH	
7484030	MED	
10072731	LOW	
7734660	LOW	
7475051	HIGH	
8732495	MED	
1383630	MED	
10391443	LOW	
12693026	MED	
16308426	HIGH	
22424534	MED	
12605020	HIGH	
7538137	LOW	
8287434	MED	
15947524	LOW	
15243307	HIGH	
8821512	HIGH	
1380597	LOW	
10511122	HIGH	
25762319	LOW	
23656469	LOW	
12548079	HIGH	
8846728	LOW	
7532526	LOW	
19809324	HIGH	
25362170	MED	
9639341	HIGH	
1448450	LOW	
10330259	MED	
8541290	LOW	
8779970	MED	
26049024	LOW	
9887027	LOW	
10330239	LOW	
12969437	MED	
8322922	LOW	
16358976	LOW	
8709127	HIGH	
11405285	MED	
18310913	HIGH	1
1314393	MED	
1310145	LOW	
1335784	LOW	
13679303	LOW	
10835047	LOW	
8913365	LOW	
16855084	LOW	
8821135	LOW	
8897484	HIGH	
9876109	HIGH	
